
6085,"Medical rehabilitation and physiotherapy center ""ZHAYRANHONA"" named after S. Salimov","Termez district, VCU ""Yangiarik"", makhalla ""Karakhan"", village ""Jayranhona""",,jayronduk@umail.uz,201290275,Аxmedov Baxtiyor
5352,The republikan specialized scientific practical medical center of therapy and medical rehabilitation,"Tashkent city, Yunusabad district,  4-Osio street,",900007044,info@therapy.uz,201037707,Alyavi Baxrom Anisxanovich
6958,Regional children's phthisiology sanatorium,"Andizhan district, SSG Zavraq","91,600-10-97",vbsks1@avhssb.uz,207196996,Xаlbekova Yulduzxon
1842,Regional  phthisiology sanatorium,"Asaka district, SSG Ne'matabad",91-488-17-04,andvsks@umail.uz,203847583,Abduraxmonov Qobiljon
1690,Bukhara Regional Children's Phthisiology Sanatorium,Bukhara r. Shifokor str 1 home,90-298-20-12,mukhammad.pardaev@ssv.uz,201511971,Safarov Xamza Oxunjonovich
6796,Bukhara regional rehabilitation center,Vobkent c. A.Donish 4 home,91-417-55-04,gulsara.ikromova@ssv.uz,201976869,Ikramova Gulsara A'lamovna
5293,Bukhara Regional Phthisiology Sanatorium,Shafirkan r. Mirzakul str,94-247-06-16,elyor.tuygunov@ssv.uz,201113184,Shamsiev Tuymurod Boboniyozovich
4348,Regional specialized children's sanatorium,Samarkand Spitamen №17,998 91 545-06-65,jamila.ravshanova@minzdrav.uz;,207206942,Ravshanova Jamila Qahramonovna
3771,"Regional anti-tuberculosis sanatorium ""Ibn-Sino""","Kitab d, Palandara village",88 804 87 87,,201841181,Egamov Farkhod
6302,Regional Rehabilitation Hospital for Mother and Child (Kuva),Kuvinsky r.c A. Yassaviy  st. 98,90 780 -72-06,frg.vil.ona bola rbsh@minzdrav.uz;,203590859,Teshaboev Abdugani Yuldashevich
8559,Regional Rehabilitation Hospital,Ferghana   r/c   Vodil st 10,91-657-25-13,frg.vil.umfsh@minzdrav.uz;,206984910,Umaralieva Sayohat Azimjonova
5570,Regional Rehabilitation Hospital,"Karshi, st.N. Mirzaev 12 d",90 442 20 94,,202139705,
3064,Regional medical rehabilitation center for children with chronic diseases and disabilities,Yakkabag r Kunguzar kishlak,90 615 01 25,,200708702,Chorshanbiev  Ozod
7917,Regional child's tuberculosis sanatorium,"Galyaral region, ""Abdukarim"" little city",,,201671995,Kushbokov Juraboy
5421,Regional rehabilitation hospital,Mirzachul region Gagarin city,8-372-312 -21-94,nodir@gms.uz,202978699,Abdukodirova Sharifa
8955,Namangan region  Chortok children Sanatorium,Chortoq city Kurort str,69-41-26-563,chortoqbolalar@exat.uz,200064224,Abduraxmanov Anvarjon
5738,"Regional children's anti-tuberculosis sanatorium ""Palandara""","Kitab d, Palandara village",88 805 03 35,,200693644,Kadyrov Hakim Rajabovich
6656,"Republican children's anti-tuberculosis sanatorium ""Chimgan""","Tashkent region, Bostonliq district, Chimgan village",99 053 53 55,chimganbs@mail.ru,202039814,Bobojonov Bunyodbek Yuldashbaevich
8345,Republican Center for rehabilitation of diseases of the musculoskeletal system of children,"Tashkent region, Kibray district, Salar settlement, Babur, 4",93 583-36-04,saliyjan.bekchanov@minzdrav.uz,201679145,Umarova Dilorom Shukurovna
1510,Republican Center for rehabilitation of children's phthisiology and diseases of the musculoskeletal system,"Tashkent city, М.Ulugbek district, Yuzrabot street, 2",71-2642526,,200540977,Akhmadzhonuv Asilbek Kasimovich
6781,Republican Children's Phthisiatric Sanatorium,"Khujaili district, Suenli Canal street w/n",998 93 611-24-47,genjemurat.babajanov@minzdrav.uz,202035029,Babajanov Genjemurat Usmanovich
3019,Aral Sea Wellness Center of cardiovascular diseases of the population of the Republic of Karakalpakstan,"Nukus city, 2/1 Aydin jol street",998 99 743-78-85,kardiologiyanukus1@gmail.com,200362193,Kutlimuratov Mels Turdimuratovich
4834,Sanatoriuv for Tuberculosis  Pulmonology Parda Tursun,"Pap discrit , Village Parda Tursun",,,200088906,Ergashboev Muhammadniez
3235,Sanatoriuv for Tuberculosis  Pulmonology Pahtalikul,"Namangan city, ""Pahtalikul"" street , 1 home",,,200055614,Turdiev Tohirjon
3708,Republican Regional Childrens Center for Medical Rehabilitation,"Nukus city, 110  М.Nurmukhammedov strееt",998 91 373-84-29,dilfuzaallambergenova 1977@mail.ru,201028979,Nazarimbetova Gulistan Alimbetovna
9275,Research Institute of Rehabilitation and Sports Medicine at the Samarkand State Medical University,Samarkand region Urtashik villlage,,,200973422,Botirov Farxod  Kodirovich
7542,Sirdarya regional children's medical rehabilitation center,"Gulistan city, Akhillik neighborhood, Uzbekistan street, 35",99891-504-19-60,"bolalaruyi85@mail,ru",205976034,Kholboeva Tursunoi Amandullaevna
5621,Regional medical rehabilitation center of Andijan region for children with chronic diseases and disabilities,"Andizhan city, st. K.Yashin № 302",91-496-21-27,vbu@avhssb.uz,203287291,Sattarova Dilorom
8975,"Regional TB sanatorium ""Surkhon""","Jarkurgan dist.RMS ""Dehkanabad"",  makhalla ""Kushtepa"" , village",91-583-11-56,zokirjon.choriev@mail.ru;,200487361,Sagizov Panji Xushbokovich
1259,Regional children's phthisiatric sanatorium,"Tashkent dr, st Sixatgox № 57",(90)-925-28-76,tvbolalar2017@umail.uz,201839000,Yuldasheva Feruza Irkinovna
9999,"Tashkent city,  medical rehabilitation clinical hospital","Ibn Sino street, Ulugbek, Mirzo Ulugbek district",97-723-53-77,sanjar.egamnazarov@ssv.uz,200541778,Abduraxmanova Zulfiya Askarovna
4927,"""Ona va bola"" health resort in Beshariq district of Fergana region",Besharik  r.c Yangi st,99-800-18-77,frg.vil.besh obh@minzdrav.uz;,203530948,Yusupov Rapiqjon Holmatovich
3483,"Ferganskaya oblastnaya detsky phtiziatrichesky sanatorium ""Kakand",Kukan  Istiklol  st/  80,91 202-13-01,frg.bskk.sanatoriy@minzdrav.uz,200131464,To'ychiev Shukurullo Meliko'zievich
9062,"Ferganskaya oblastnaya detsky phtiziatrichesky sanatorium ""Vodil",Ferghana   r/c   Vodil st 10,91 674 -11-01,frg.vil.b.sil.qks.vd@minzdrav.uz,201198293,Asqarova Gulandom Turaevna
2735,"Ferganskaya oblastnaya detsky phtiziatrichesky sanatorium ""Fayzabad""",Oltarik  c Fayziobod st   6,90 534-46-44,frg.vil.b.sil.qks.fz@minzdrav.uz,200174561,Мuxamedjanovа Ro`zixon Akbarjonovna
2987,Regional Rehabilitation Center for Disabled Children (Boltakul),Ferghana city Eski Fergana 1,97.997-48-98,frg.vil.nbrq.markazi@minzdrav.uz,202802481,Saidahmedov Abrorhuja Shuhrat ugli
2675,"Ferganskaya oblastnaya phtiziatrichesky sanatorium for adults ""Ukchi""",Uzbekistan  c. Ukchi  st,97 153 98 67,shokirjon.kamolov@minzdrav.uz,200189075,Abidov Nozim Nabievich
9422,Regional Medical Rehabilitation Center for Children with Chronic Diseases and Disabilities under the Health Department of the Ferghana Region,Ferghana city Oybek 7,990576774,fargona.sknbrm@zdrav.uz,205257184,Xoldarova Faridaxon Tursunalievna
2195,Children's tubsanatorium of the Khorezm region,"Khorezm region, city Urgench.street. R. Gayipova .23","622256233, 627704073",xorazm_vbsks@inbox.uz,203336143,Kuryazov Xamro
